Giocatore,Squadra,Assist,Anno
Franco Vázquez,Palermo,10,2015
Domenico Berardi,Sassuolo,10,2015
Paulo Dybala,Palermo,10,2015
Miralem Pjanić,Roma,10,2015
Marek Hamšík,Napoli,10,2015
Antonio Candreva,Lazio,9,2015
Emil Hallfreðsson,Hellas Verona,9,2015
Andrea Bertolacci,Genoa,8,2015
Carlos Tévez,Juventus,7,2015
Gonzalo Higuaín,Napoli,7,2015
Felipe Anderson,Lazio,7,2015
Antonio Di Natale,Udinese,7,2015
Massimo Maccarone,Empoli,7,2015
Mirko Valdifiori,Empoli,7,2015
José Callejón,Napoli,6,2015
