squadra,totale_gol,totale_gol_subiti,media_gol_segnati,media_gol_subiti,totale_partite,vittorie,pareggi,sconfitte,% vittorie,% pareggi,% sconfitte,differenza_reti,punti,anno
Juventus,72,24,1.894736842105263,0.631578947368421,38,26,9,3,68.42105263157895,23.684210526315788,7.894736842105263,48,87,2015
Roma,54,31,1.4210526315789473,0.8157894736842105,38,19,13,6,50.0,34.21052631578947,15.789473684210526,23,70,2015
Lazio,71,38,1.868421052631579,1.0,38,21,6,11,55.26315789473685,15.789473684210526,28.947368421052634,33,69,2015
Fiorentina,61,46,1.605263157894737,1.2105263157894737,38,18,10,10,47.368421052631575,26.31578947368421,26.31578947368421,15,64,2015
Napoli,70,54,1.8421052631578947,1.4210526315789473,38,18,9,11,47.368421052631575,23.684210526315788,28.947368421052634,16,63,2015
Genoa,62,47,1.631578947368421,1.236842105263158,38,16,11,11,42.10526315789473,28.947368421052634,28.947368421052634,15,59,2015
Sampdoria,48,42,1.263157894736842,1.105263157894737,38,13,17,8,34.21052631578947,44.73684210526316,21.052631578947366,6,56,2015
Inter,59,48,1.5526315789473684,1.263157894736842,38,14,13,11,36.84210526315789,34.21052631578947,28.947368421052634,11,55,2015
Torino,48,45,1.263157894736842,1.1842105263157894,38,14,12,12,36.84210526315789,31.57894736842105,31.57894736842105,3,54,2015
Milan,56,50,1.4736842105263157,1.3157894736842106,38,13,13,12,34.21052631578947,34.21052631578947,31.57894736842105,6,52,2015
Palermo,53,55,1.394736842105263,1.4473684210526316,38,12,13,13,31.57894736842105,34.21052631578947,34.21052631578947,-2,49,2015
Sassuolo,49,57,1.2894736842105263,1.5,38,12,13,13,31.57894736842105,34.21052631578947,34.21052631578947,-8,49,2015
Verona,49,65,1.2894736842105263,1.7105263157894737,38,11,13,14,28.947368421052634,34.21052631578947,36.84210526315789,-16,46,2015
Chievo,28,41,0.7368421052631579,1.0789473684210527,38,10,13,15,26.31578947368421,34.21052631578947,39.473684210526315,-13,43,2015
Empoli,46,52,1.2105263157894737,1.368421052631579,38,8,18,12,21.052631578947366,47.368421052631575,31.57894736842105,-6,42,2015
Udinese,43,56,1.131578947368421,1.4736842105263157,38,10,11,17,26.31578947368421,28.947368421052634,44.73684210526316,-13,41,2015
Atalanta,38,57,1.0,1.5,38,7,16,15,18.421052631578945,42.10526315789473,39.473684210526315,-19,37,2015
Cagliari,48,68,1.263157894736842,1.7894736842105263,38,8,10,20,21.052631578947366,26.31578947368421,52.63157894736842,-20,34,2015
Parma,33,75,0.868421052631579,1.9736842105263157,38,6,8,24,15.789473684210526,21.052631578947366,63.1578947368421,-42,26,2015
Cesena,36,73,0.9473684210526315,1.9210526315789473,38,4,12,22,10.526315789473683,31.57894736842105,57.89473684210527,-37,24,2015
