Giocatore,Squadra,Gol totali,Anno
Gonzalo Higuaín,Napoli,36,2016
Paulo Dybala,Juventus,19,2016
Carlos Bacca,Milan,18,2016
Mauro Icardi,Inter,16,2016
Leonardo Pavoletti,Genoa,14,2016
Mohamed Salah,Roma,14,2016
Éder,Inter,13,2016
Josip Ilicic,Fiorentina,13,2016
Massimo Maccarone,Empoli,13,2016
Andrea Belotti,Torino,12,2016
Lorenzo Insigne,Napoli,12,2016
Nikola Kalinic,Fiorentina,12,2016
Cyril Thereau,Udinese,11,2016
Alberto Gilardino,Palermo,10,2016
Antonio Candreva,Lazio,10,2016
Mario Mandzukic,Juventus,10,2016
Miralem Pjanic,Roma,10,2016
Daniel Ciofani,Frosinone,9,2016
Federico Dionisi,Frosinone,9,2016
