Giocatore,Squadra,Gol Totali,Anno
Quagliarella Fabio,Sampdoria,26,2019
Zapata Duvan,Atalanta,23,2019
Cristiano Ronaldo Dos Santos Aveiro,Juventus,21,2019
Milik Arkadiusz,Napoli,17,2019
Petagna Andrea,SPAL,16,2019
Caputo Francesco,Empoli,16,2019
Mertens Dries,Napoli,16,2019
Pavoletti Leonardo,Cagliari,16,2019
Immobile Ciro,Lazio,15,2019
Belotti Andrea,Torino,15,2019
Piatek Krzysztof,Genoa,13,2019
Ilicic Josip,Atalanta,12,2019
Defrel Gregoire André,Sampdoria,11,2019
El Shaarawy Stephan,Roma,11,2019
Gervinho Gervais Lombe Yao Kouassi,Parma,11,2019
Icardi Mauro Emanuel,Inter,11,2019
Insigne Lorenzo,Napoli,10,2019
De Paul Rodrigo Javier,Udinese,9,2019
Mandzukic Mario,Juventus,9,2019
Piatek Krzysztof,Milan,9,2019
Dzeko Edin,Roma,9,2019
Inglese Roberto,Parma,9,2019
Caicedo Felipe,Lazio,8,2019
Kolarov Aleksandar,Roma,8,2019
Perisic Ivan,Inter,8,2019
Santander Federico,Bologna,8,2019
Orsolini Riccardo,Bologna,8,2019
Berardi Domenico,Sassuolo,8,2019
Ciano Camillo,Frosinone,7,2019
Benassi Marco,Fiorentina,7,2019
Babacar Khouma,Sassuolo,7,2019
Kessie Franck,Milan,7,2019
Papu Gomez Alejandro,Atalanta,7,2019
Joao Pedro Guerra Cunha,Cagliari,7,2019
Suso Jesus Fernandez,Milan,7,2019
Higuaín Gonzalo,Milan,6,2019
Caprari Gianluca,Sampdoria,6,2019
Nainggolan Radja,Inter,6,2019
Muriel Luis,Fiorentina,6,2019
Simeone Giovanni Pablo,Fiorentina,6,2019
Kurtic Jasmin,SPAL,6,2019
Kean Moise,Juventus,6,2019
Zielinski Piotr,Napoli,6,2019
Chiesa Federico,Fiorentina,6,2019
Pulgar Erick,Bologna,6,2019
Martinez Lautaro,Inter,6,2019
Iago Falque Silva,Torino,6,2019
Lasagna Kevin,Udinese,6,2019
Stepinski Mariusz,Chievo,6,2019
Veretout Jordan,Fiorentina,5,2019
Milinkovic-Savic Sergej,Lazio,5,2019
Di Lorenzo Giovanni,Empoli,5,2019
Perotti Diego,Roma,5,2019
Pasalic Mario,Atalanta,5,2019
Ciofani Daniel,Frosinone,5,2019
Politano Matteo,Inter,5,2019
Krunic Rade,Empoli,5,2019
Hateboer Hans,Atalanta,5,2019
Fazio Federico,Roma,5,2019
Antenucci Mirco,SPAL,5,2019
Gagliardini Roberto,Inter,5,2019
Keita Baldé Diao,Inter,5,2019
Pinamonti Andrea,Frosinone,5,2019
Dybala Paulo,Juventus,5,2019
Ruiz Fabian,Napoli,5,2019
Mancini Gianluca,Atalanta,5,2019
Correa Joaquín,Lazio,5,2019
Bruno Alves Eduardo,Parma,4,2019
Ferrari Gian Marco,Sassuolo,4,2019
Gabbiadini Manolo,Sampdoria,4,2019
Castagne Timothy,Atalanta,4,2019
Destro Mattia,Bologna,4,2019
Boateng Kevin-Prince,Sassuolo,4,2019
Parolo Marco,Lazio,4,2019
Pandev Goran,Genoa,4,2019
Kucka Juraj,Parma,4,2019
Duncan Alfred Joseph,Sassuolo,4,2019
Castillejo Samu,Milan,4,2019
Zaza Simone,Torino,4,2019
Poli Andrea,Bologna,4,2019
Ramirez Gaston,Sampdoria,4,2019
Cristante Bryan,Roma,4,2019
Lulic Senad,Lazio,4,2019
Pussetto Ignacio,Udinese,4,2019
Farias Diego,Empoli,4,2019
Pellissier Sergio,Chievo,4,2019
Baselli Daniele,Torino,4,2019
Zaniolo Nicolò,Roma,4,2019
Kouamé Christian,Genoa,4,2019
Izzo Armando,Torino,4,2019
Luis Alberto Romero,Lazio,4,2019
Can Emre,Juventus,4,2019
Fares Mohamed Salim,SPAL,3,2019
Rincon Tomas Eduardo,Torino,3,2019
Bonaventura Giacomo,Milan,3,2019
Pastore Javier,Roma,3,2019
Younes Amin,Napoli,3,2019
Cutrone Patrick,Milan,3,2019
Sanabria Antonio,Genoa,3,2019
Palacio Rodrigo,Bologna,3,2019
Gosens Robin,Atalanta,3,2019
