Squadra,Parti Uguali,Sostenitori,Popolazione,Risultati Sportivi,Totale,Anno
Juventus,26.7,98.9,NaN,36.1,134.9,2021
Inter,26.7,101.7,NaN,37.5,139.2,2021
Milan,26.7,92.7,NaN,33.0,125.7,2021
Atalanta,26.7,89.1,NaN,31.2,120.0,2021
Napoli,26.7,87.5,NaN,30.4,118.0,2021
Lazio,26.7,84.1,NaN,28.7,112.8,2021
Roma,26.7,82.3,NaN,27.8,110.1,2021
Sassuolo,26.7,72.7,NaN,23.0,95.7,2021
Sampdoria,26.7,70.5,NaN,21.9,92.4,2021
Verona,26.7,69.7,NaN,21.5,91.2,2021
Bologna,26.7,68.9,NaN,21.1,89.9,2021
Udinese,26.7,67.5,NaN,20.4,88.0,2021
Fiorentina,26.7,66.0,NaN,19.6,85.6,2021
Genoa,26.7,64.3,NaN,18.8,83.1,2021
Spezia,26.7,61.3,NaN,17.3,78.6,2021
Cagliari,26.7,59.7,NaN,16.5,76.2,2021
Torino,26.7,57.1,NaN,15.2,72.3,2021
Benevento,26.7,54.7,NaN,14.0,70.7,2021
Crotone,26.7,51.7,NaN,12.5,64.2,2021
Parma,26.7,50.7,NaN,12.0,62.7,2021
