Squadra,Parti uguali,Sostenitori,Popolazione,Risultati sportivi,Totale,Anno
Inter,23.5M,10.1M,NaN,38.9M,72.5M,2022
Milan,23.5M,10.4M,NaN,36.7M,70.6M,2022
Juventus,23.5M,10.5M,NaN,66.6M,2022
Napoli,23.5M,7.0M,NaN,28.6M,59.1M,2022
Roma,23.5M,6.5M,NaN,27.5M,57.5M,2022
Lazio,23.5M,5.4M,NaN,24.0M,52.9M,2022
Atalanta,23.5M,5.5M,NaN,16.9M,45.9M,2022
Fiorentina,23.5M,5.1M,NaN,16.1M,44.7M,2022
Bologna,23.5M,3.9M,NaN,11.1M,38.5M,2022
Torino,23.5M,4.0M,NaN,10.7M,38.2M,2022
Sassuolo,23.5M,3.5M,NaN,9.0M,36.0M,2022
Udinese,23.5M,3.4M,NaN,7.7M,34.6M,2022
Genoa,23.5M,3.9M,NaN,6.1M,33.5M,2022
Cagliari,23.5M,4.2M,NaN,4.1M,31.8M,2022
Spezia,23.5M,3.0M,NaN,3.3M,31.3M,2022
Empoli,23.5M,3.0M,NaN,3.3M,29.8M,2022
Verona,23.5M,3.4M,NaN,35.3M,35.3M,2022
Sampdoria,23.5M,,NaN,9.6M,36.9M,2022
Venezia,23.5M,4M,NaN,0.0M,27.5M,2022
Salernitana,23.5M,3M,NaN,0.2M,27.5M,2022
