Club,Parti uguali,Sostenitori,Popolazione,Risultati Sportivi,Totale,Anno
Inter,25.5,28.0,NaN,33.6,87.1,2023
Napoli,25.5,18.4,NaN,36.4,80.3,2023
Milan,25.5,26.3,NaN,28.2,80.0,2023
Juventus,25.5,23.9,NaN,29.3,78.6,2023
Lazio,25.5,16.8,NaN,28.6,70.9,2023
Roma,25.5,21.1,NaN,21.6,68.2,2023
Fiorentina,25.5,13.4,NaN,16.4,55.3,2023
Atalanta,25.5,6.3,NaN,23.4,55.2,2023
Torino,25.5,10.0,NaN,13.6,49.1,2023
Bologna,25.5,6.6,NaN,11.4,43.5,2023
Udinese,25.5,6.7,NaN,8.6,40.8,2023
Sampdoria,25.5,6.1,NaN,6.1,39.0,2023
Sassuolo,25.5,2.5,NaN,10.8,38.8,2023
Lecce,25.5,8.2,NaN,4.9,38.6,2023
Monza,25.5,2.3,NaN,6.5,34.3,2023
Verona,25.5,2.0,NaN,6.6,34.1,2023
Salernitana,25.5,2.0,NaN,5.1,32.6,2023
Empoli,25.5,0.9,NaN,6.2,32.6,2023
Spezia,25.5,1.2,NaN,4.7,31.4,2023
Cremonese,25.5,1.2,NaN,2.7,29.4,2023
