Società,Acquisti,Spese,Cessioni,Entrate,Saldo,Anno
Juventus,25,122.75,24,111.59,-11.16,2023
Atalanta,76,108.45,77,137.35,28.90,2023
Napoli,33,79.30,31,86.18,6.88,2023
Udinese,30,69.70,28,62.60,-7.10,2023
Inter,50,65.68,46,24.85,-40.83,2023
Milan,30,58.29,28,11.11,-47.18,2023
Bologna,34,52.30,31,42.75,-9.55,2023
Sassuolo,46,51.28,51,79.33,28.05,2023
Monza,33,51.00,34,0.185,-50.82,2023
Salernitana,47,48.37,53,23.32,-25.05,2023
Lazio,37,41.65,38,42.35,0.698,2023
Hellas Verona,45,41.21,42,36.56,-4.66,2023
Fiorentina,36,37.61,37,50.73,13.12,2023
Cremonese,42,36.65,42,0.500,-36.15,2023
Torino,34,30.38,35,57.22,26.84,2023
Spezia,33,18.32,33,32.97,14.66,2023
Empoli,52,15.85,51,28.31,12.46,2023
AS Roma,29,9.40,30,81.42,72.02,2023
Sampdoria,53,6.77,50,35.60,28.83,2023
Lecce,32,4.63,28,3.60,-1.03,2023
