Club,parti uguali,Sostenitori,Popolazione,Risultati Sportivi,Totale,Anno
Atalanta,26.8,9.1,NaN,24.5,60.4,2024
Bologna,26.8,10.6,NaN,18.8,56.2,2024
Cagliari,26.8,4.3,NaN,6.0,37.1,2024
Empoli,26.8,1.5,NaN,5.0,32.9,2024
Fiorentina,26.8,15.2,NaN,17.4,59.4,2024
Frosinone,26.8,2.1,NaN,2.4,31.3,2024
Genoa,26.8,12.1,NaN,8.5,47.4,2024
Inter,26.8,32.9,NaN,41.3,101.0,2024
Juventus,26.8,26.5,NaN,33.4,86.7,2024
Lazio,26.8,20.4,NaN,23.6,66.8,2024
Lecce,26.8,7.9,NaN,5.4,40.1,2024
Milan,26.8,28.2,NaN,30.2,87.4,2024
Monza,26.8,2.3,NaN,6.2,35.3,2024
Napoli,26.8,19.6,NaN,19.0,66.9,2024
Roma,26.8,23.6,NaN,21.0,71.4,2024
Salernitana,26.8,2.7,NaN,2.1,31.6,2024
Sassuolo,26.8,1.9,NaN,7.1,35.8,2024
Torino,26.8,7.4,NaN,13.1,47.3,2024
Udinese,26.8,4.9,NaN,7.8,39.0,2024
Verona,26.8,3.3,NaN,8.3,38.4,2024
