Club,Stadio,Capacità,Spettatori,Media spettatori,Anno
Inter,Giuseppe Meazza,75923,1383926,72838,2024
AC Milan,Giuseppe Meazza,75923,1367997,72000,2024
AS Roma,Olimpico di Roma,70634,1195578,62925,2024
SSC Napoli,Diego Armando Maradona,54726,892555,46977,2024
SS Lazio,Olimpico di Roma,70634,830600,43716,2024
Juventus FC,Allianz Stadium,41507,747557,39345,2024
Genoa CFC,Luigi Ferraris,34901,607739,31986,2024
ACF Fiorentina,Artemio Franchi,43147,551015,29001,2024
US Lecce,Ettore Giardiniero,31559,506245,26644,2024
Bologna FC,Stadio Renato Dall’Ara,36462,492367,25914,2024
Torino FC,Olimpico Grande Torino,28177,432298,22753,2024
Udinese Calcio,Bluenergy Stadium,25144,409385,21547,2024
Hellas Verona,Marcantonio Bentegodi,39211,405891,21363,2024
US Salernitana,Arechi,29739,345070,18162,2024
Cagliari Calcio,Unipol Domus,16365,307187,16168,2024
Atalanta,Gewiss Stadium,24950,279769,14725,2024
Frosinone Calcio,Benito Stirpe,16227,278280,14646,2024
US Sassuolo,Mapei Stadium,21584,276976,14578,2024
AC Monza,Brianteo,17102,231394,12179,2024
Empoli FC,Carlo Castellani,19847,206358,10861,2024
