squadra,totale_gol,totale_gol_subiti,media_gol_segnati,media_gol_subiti,totale_partite,vittorie,pareggi,sconfitte,% vittorie,% pareggi,% sconfitte,differenza_reti,punti,anno
Juventus,72,24,1.894736842105263,0.631578947368421,38,26,9,3,68.42105263157895,23.684210526315788,7.894736842105263,48,87,2015
Roma,54,31,1.4210526315789471,0.8157894736842105,38,19,13,6,50.0,34.21052631578947,15.789473684210526,23,70,2015
Lazio,71,38,1.868421052631579,1.0,38,21,6,11,55.26315789473685,15.789473684210526,28.947368421052637,33,69,2015
Fiorentina,61,46,1.605263157894737,1.2105263157894737,38,18,10,10,47.368421052631575,26.31578947368421,26.31578947368421,15,64,2015
Napoli,70,54,1.8421052631578947,1.4210526315789471,38,18,9,11,47.368421052631575,23.684210526315788,28.947368421052637,16,63,2015
Genoa,62,47,1.631578947368421,1.236842105263158,38,16,11,11,42.10526315789473,28.947368421052637,28.947368421052637,15,59,2015
Sampdoria,48,42,1.263157894736842,1.105263157894737,38,13,17,8,34.21052631578947,44.73684210526316,21.052631578947366,6,56,2015
Inter,59,48,1.5526315789473684,1.263157894736842,38,14,13,11,36.84210526315789,34.21052631578947,28.947368421052637,11,55,2015
Torino,48,45,1.263157894736842,1.1842105263157894,38,14,12,12,36.84210526315789,31.57894736842105,31.57894736842105,3,54,2015
Milan,56,50,1.4736842105263157,1.3157894736842106,38,13,13,12,34.21052631578947,34.21052631578947,31.57894736842105,6,52,2015
Palermo,53,55,1.394736842105263,1.4473684210526316,38,12,13,13,31.57894736842105,34.21052631578947,34.21052631578947,-2,49,2015
Sassuolo,49,57,1.2894736842105263,1.5,38,12,13,13,31.57894736842105,34.21052631578947,34.21052631578947,-8,49,2015
Verona,49,65,1.2894736842105263,1.7105263157894737,38,11,13,14,28.947368421052637,34.21052631578947,36.84210526315789,-16,46,2015
Chievo,28,41,0.7368421052631579,1.0789473684210529,38,10,13,15,26.31578947368421,34.21052631578947,39.47368421052632,-13,43,2015
Empoli,46,52,1.2105263157894737,1.368421052631579,38,8,18,12,21.052631578947366,47.368421052631575,31.57894736842105,-6,42,2015
Udinese,43,56,1.131578947368421,1.4736842105263157,38,10,11,17,26.31578947368421,28.947368421052637,44.73684210526316,-13,41,2015
Atalanta,38,57,1.0,1.5,38,7,16,15,18.421052631578945,42.10526315789473,39.47368421052632,-19,37,2015
Cagliari,48,68,1.263157894736842,1.7894736842105263,38,8,10,20,21.052631578947366,26.31578947368421,52.63157894736842,-20,34,2015
Parma,33,75,0.868421052631579,1.973684210526316,38,6,8,24,15.789473684210526,21.052631578947366,63.1578947368421,-42,26,2015
Cesena,36,73,0.9473684210526316,1.9210526315789476,38,4,12,22,10.526315789473683,31.57894736842105,57.89473684210527,-37,24,2015
Juventus,75,20,1.973684210526316,0.5263157894736842,38,29,4,5,76.31578947368422,10.526315789473683,13.157894736842104,55,91,2016
Napoli,80,32,2.1052631578947367,0.8421052631578947,38,25,7,6,65.78947368421053,18.421052631578945,15.789473684210526,48,82,2016
Roma,83,41,2.1842105263157894,1.0789473684210529,38,23,11,4,60.526315789473685,28.947368421052637,10.526315789473683,42,80,2016
Inter,50,38,1.3157894736842106,1.0,38,20,7,11,52.63157894736842,18.421052631578945,28.947368421052637,12,67,2016
Fiorentina,60,42,1.5789473684210529,1.105263157894737,38,18,10,10,47.368421052631575,26.31578947368421,26.31578947368421,18,64,2016
Sassuolo,49,40,1.2894736842105263,1.0526315789473684,38,16,13,9,42.10526315789473,34.21052631578947,23.684210526315788,9,61,2016
Milan,49,43,1.2894736842105263,1.131578947368421,38,15,12,11,39.47368421052632,31.57894736842105,28.947368421052637,6,57,2016
Lazio,52,52,1.368421052631579,1.368421052631579,38,15,9,14,39.47368421052632,23.684210526315788,36.84210526315789,0,54,2016
Chievo,43,45,1.131578947368421,1.1842105263157894,38,13,11,14,34.21052631578947,28.947368421052637,36.84210526315789,-2,50,2016
Empoli,40,49,1.0526315789473684,1.2894736842105263,38,12,10,16,31.57894736842105,26.31578947368421,42.10526315789473,-9,46,2016
Genoa,45,48,1.1842105263157894,1.263157894736842,38,13,7,18,34.21052631578947,18.421052631578945,47.368421052631575,-3,46,2016
Torino,52,55,1.368421052631579,1.4473684210526316,38,12,9,17,31.57894736842105,23.684210526315788,44.73684210526316,-3,45,2016
Atalanta,41,47,1.0789473684210529,1.236842105263158,38,11,12,15,28.947368421052637,31.57894736842105,39.47368421052632,-6,45,2016
Bologna,33,45,0.868421052631579,1.1842105263157894,38,11,9,18,28.947368421052637,23.684210526315788,47.368421052631575,-12,42,2016
Sampdoria,48,61,1.263157894736842,1.605263157894737,38,10,10,18,26.31578947368421,26.31578947368421,47.368421052631575,-13,40,2016
Udinese,35,60,0.9210526315789472,1.5789473684210529,38,10,9,19,26.31578947368421,23.684210526315788,50.0,-25,39,2016
Palermo,38,65,1.0,1.7105263157894737,38,10,9,19,26.31578947368421,23.684210526315788,50.0,-27,39,2016
Carpi,37,57,0.9736842105263158,1.5,38,9,11,18,23.684210526315788,28.947368421052637,47.368421052631575,-20,38,2016
Frosinone,35,76,0.9210526315789472,2.0,38,8,7,23,21.052631578947366,18.421052631578945,60.526315789473685,-41,31,2016
Verona,34,63,0.8947368421052632,1.6578947368421053,38,5,13,20,13.157894736842104,34.21052631578947,52.63157894736842,-29,28,2016
Juventus,77,27,2.026315789473684,0.7105263157894737,38,29,4,5,76.31578947368422,10.526315789473683,13.157894736842104,50,91,2017
Roma,90,38,2.3684210526315788,1.0,38,28,3,7,73.68421052631578,7.894736842105263,18.421052631578945,52,87,2017
