Giocatore,Squadra,Assist,Anno
Franco Vázquez,Palermo,10,2015
Domenico Berardi,Sassuolo,10,2015
Paulo Dybala,Palermo,10,2015
Miralem Pjanić,Roma,10,2015
Marek Hamšík,Napoli,10,2015
Antonio Candreva,Lazio,9,2015
Emil Hallfreðsson,Hellas Verona,9,2015
Andrea Bertolacci,Genoa,8,2015
Carlos Tévez,Juventus,7,2015
Gonzalo Higuaín,Napoli,7,2015
Felipe Anderson,Lazio,7,2015
Antonio Di Natale,Udinese,7,2015
Massimo Maccarone,Empoli,7,2015
Mirko Valdifiori,Empoli,7,2015
José Callejón,Napoli,6,2015
Miralem Pjanić,Roma,12,2016
Paul Pogba,Juventus,12,2016
Riccardo Saponara,Empoli,11,2016
Marek Hamšík,Napoli,11,2016
Lorenzo Insigne,Napoli,10,2016
Diego Perotti,Roma,9,2016
Paulo Dybala,Juventus,9,2016
Giacomo Bonaventura,Milan,8,2016
Miroslav Klose,Lazio,7,2016
Franco Vázquez,Palermo,7,2016
Valter Birsa,Chievo,7,2016
José Callejón,Napoli,7,2016
Álvaro Morata,Juventus,7,2016
Riccardo Meggiorini,Chievo,7,2016
Alejandro Gómez,Atalanta,7,2016
José Callejón,Napoli,12,2017
Mohamed Salah,Roma,11,2017
Alejandro Gómez,Atalanta,10,2017
Marek Hamšík,Napoli,10,2017
Borja Valero,Fiorentina,10,2017
Antonio Candreva,Inter,10,2017
Suso,Milan,9,2017
Felipe Anderson,Lazio,9,2017
Valter Birsa,Chievo Verona,9,2017
Dries Mertens,Napoli,9,2017
Edin Džeko,Roma,9,2017
Lorenzo Insigne,Napoli,9,2017
Domenico Berardi,Sassuolo,9,2017
Miralem Pjanić,Juventus,9,2017
Senad Lulić,Lazio,9,2017
Luis Alberto,Lazio,14,2018
Douglas Costa,Juventus,12,2018
Lorenzo Insigne,Napoli,11,2018
José Callejón,Napoli,10,2018
Alejandro Gómez,Atalanta,10,2018
Adem Ljajić,Torino,10,2018
Simone Verdi,Bologna,10,2018
Radja Nainggolan,Roma,9,2018
Ciro Immobile,Lazio,9,2018
Ivan Perišić,Inter,9,2018
Marcelo Brozović,Inter,8,2018
Josip Iličić,Atalanta,8,2018
Miralem Pjanić,Juventus,8,2018
Aleksandar Kolarov,Roma,8,2018
Antonio Candreva,Inter,8,2018
Alejandro Gómez,Atalanta,11,2019
Dries Mertens,Napoli,11,2019
José Callejón,Napoli,10,2019
Suso,Milan,10,2019
Rodrigo De Paul,Udinese,8,2019
Manuel Lazzari,SPAL,8,2019
Fabio Quagliarella,Sampdoria,8,2019
Cristiano Ronaldo,Juventus,8,2019
Duván Zapata,Atalanta,7,2019
Josip Iličić,Atalanta,7,2019
Cengiz Ünder,Roma,7,2019
Rade Krunić,Empoli,7,2019
Ciro Immobile,Lazio,6,2019
Edin Džeko,Roma,6,2019
Hakan Çalhanoğlu,Milan,6,2019
Alejandro Gómez,Atalanta,16,2020
Luis Alberto,Lazio,15,2020
Domenico Berardi,Sassuolo,10,2020
Lorenzo Pellegrini,Roma,9,2020
Hakan Çalhanoğlu,Milan,9,2020
Ciro Immobile,Lazio,9,2020
Alexis Sánchez,Inter,8,2020
Dejan Kulusevski,Parma,8,2020
Robin Gosens,Atalanta,8,2020
Darko Lazović,Verona,7,2020
Sandro Tonali,Brescia,7,2020
Rodrigo Bentancur,Juventus,7,2020
José Callejón,Napoli,7,2020
Seko Fofana,Udinese,7,2020
Paulo Dybala,Juventus,7,2020
Ruslan Malinovskyi,Atalanta,12,2021
Romelu Lukaku,Inter,11,2021
Juan Cuadrado,Juventus,10,2021
Piotr Zieliński,Napoli,10,2021
Henrikh Mkhitaryan,Roma,10,2021
Josip Iličić,Atalanta,9,2021
Álvaro Morata,Juventus,9,2021
Hakan Çalhanoğlu,Milan,9,2021
Sergej Milinković-Savić,Lazio,9,2021
Rodrigo De Paul,Udinese,9,2021
Luis Muriel,Atalanta,9,2021
Federico Chiesa,Juventus,9,2021
Dries Mertens,Napoli,8,2021
Achraf Hakimi,Inter,8,2021
Musa Barrow,Bologna,8,2021
Domenico Berardi,Sassuolo,14,2022
Hakan Çalhanoğlu,Inter,12,2022
Nicolò Barella,Inter,11,2022
Sergej Milinković-Savić,Lazio,11,2022
Luis Alberto,Lazio,10,2022
Rafael Leão,Milan,10,2022
Antonio Candreva,Sampdoria,10,2022
Jordan Veretout,Roma,8,2022
Lorenzo Insigne,Napoli,8,2022
Felipe Anderson,Lazio,8,2022
Gianluca Caprari,Verona,7,2022
Darko Lazović,Verona,7,2022
Isaac Success,Udinese,6,2022
Henrikh Mkhitaryan,Roma,6,2022
Edin Džeko,Inter,6,2022
Khvicha Kvaratskhelia,Napoli,10,2023
Filip Kostić,Juventus,9,2023
Musa Barrow,Bologna,8,2023
Rafael Leão,Milan,8,2023
Sergej Milinković-Savić,Lazio,8,2023
Piotr Zieliński,Napoli,8,2023
