squadra,parti_uguali,sostenitori,popolazione,risultati_sportivi,totale,anno
Juventus,16.7,50.8,2.5,24.0,94.0,2015.0
Roma,16.7,17.2,7.9,20.2,62.0,2015.0
Milan,16.7,30.6,5.6,21.2,74.1,2015.0
Inter,16.7,35.7,5.4,20.0,77.8,2015.0
Napoli,16.7,18.5,5.2,18.8,59.2,2015.0
Fiorentina,16.7,5.7,2.4,17.6,42.4,2015.0
Lazio,16.7,8.1,7.9,17.8,50.5,2015.0
Genoa,16.7,4.9,2.3,11.8,35.7,2015.0
Torino,16.7,3.1,2.6,11.0,33.4,2015.0
Sampdoria,16.7,2.9,2.3,14.2,36.1,2015.0
Palermo,16.7,1.5,3.1,10.4,31.7,2015.0
Verona,16.7,2.2,1.8,7.0,27.7,2015.0
Atalanta,16.7,1.1,1.9,8.8,28.5,2015.0
Parma,16.7,1.4,1.4,9.4,28.9,2015.0
Udinese,16.7,0.8,1.5,12.6,31.6,2015.0
Chievo,16.7,0.6,1.8,8.8,27.9,2015.0
Cagliari,16.7,0.7,1.5,7.6,26.5,2015.0
Cesena,16.7,0.5,1.4,4.4,23.0,2015.0
Empoli,16.7,0.4,0.7,3.0,20.8,2015.0
Sassuolo,16.7,0.6,0.1,3.4,20.8,2015.0
Atalanta,18.5,2.5,0.3,9.4,30.7,2016.0
Bologna,18.5,3.9,1.1,10.0,33.5,2016.0
Carpi,18.5,1.0,0.2,2.3,22.0,2016.0
Chievo,18.5,2.0,0.7,9.4,30.6,2016.0
Empoli,18.5,1.6,0.1,5.6,25.8,2016.0
Fiorentina,18.5,7.9,1.0,17.6,45.0,2016.0
Frosinone,18.5,1.0,0.1,2.4,22.0,2016.0
Genoa,18.5,3.4,1.6,11.7,35.2,2016.0
Inter,18.5,31.1,3.7,18.7,72.0,2016.0
Juventus,18.5,49.7,2.5,23.1,93.8,2016.0
Lazio,18.5,7.6,7.9,17.1,51.1,2016.0
Milan,18.5,31.6,3.7,21.0,74.8,2016.0
Napoli,18.5,20.0,2.7,19.2,60.4,2016.0
Palermo,18.5,5.3,1.9,7.4,33.1,2016.0
Roma,18.5,16.9,7.9,20.1,63.4,2016.0
Sampdoria,18.5,3.8,1.6,12.3,36.2,2016.0
Sassuolo,18.5,2.1,0.1,5.1,25.8,2016.0
Torino,18.5,6.0,2.5,13.3,40.3,2016.0
Udinese,18.5,2.6,0.3,11.1,32.5,2016.0
Verona,18.5,2.1,0.7,6.2,27.5,2016.0
Juventus,18.8,32.1,3.1,27.2,81.2,2017.0
Roma,18.8,21.0,3.8,23.9,67.5,2017.0
Napoli,18.8,22.3,3.4,23.0,67.5,2017.0
Inter,18.8,23.1,3.6,21.7,67.2,2017.0
Milan,18.8,23.2,3.6,20.7,66.3,2017.0
Fiorentina,18.8,13.9,2.2,21.4,56.3,2017.0
Lazio,18.8,12.1,3.8,20.9,55.6,2017.0
Torino,18.8,8.2,3.1,17.1,47.2,2017.0
Sampdoria,18.8,8.4,2.7,15.3,45.2,2017.0
Atalanta,18.8,7.5,1.6,15.6,43.5,2017.0
Genoa,18.8,7.4,2.7,11.8,40.7,2017.0
