giocatore,squadra,gol_totali,anno
Luca Toni,Verona,22,2015
Mauro Icardi,Inter,22,2015
Carlos Tevez,Juventus,20,2015
Gonzalo Higuaín,Napoli,18,2015
Jérémy Menez,Milan,16,2015
Domenico Berardi,Sassuolo,15,2015
Manolo Gabbiadini,Napoli,15,2015
Antonio Di Natale,Udinese,14,2015
Fabio Quagliarella,Torino,13,2015
Iago Falque,Genoa,13,2015
Miroslav Klose,Lazio,13,2015
Paulo Dybala,Palermo,13,2015
José Maria Callejon,Napoli,11,2015
Simone Zaza,Sassuolo,11,2015
Antonio Candreva,Lazio,10,2015
Cyril Thereau,Udinese,10,2015
Felipe Anderson,Lazio,10,2015
Franco Vazquez,Palermo,10,2015
Marco Parolo,Lazio,10,2015
Massimo Maccarone,Empoli,10,2015
Gonzalo Higuaín,Napoli,36,2016
Paulo Dybala,Juventus,19,2016
Carlos Bacca,Milan,18,2016
Mauro Icardi,Inter,16,2016
Leonardo Pavoletti,Genoa,14,2016
Mohamed Salah,Roma,14,2016
Éder,Inter,13,2016
Josip Ilicic,Fiorentina,13,2016
Massimo Maccarone,Empoli,13,2016
Andrea Belotti,Torino,12,2016
Lorenzo Insigne,Napoli,12,2016
Nikola Kalinic,Fiorentina,12,2016
Cyril Thereau,Udinese,11,2016
Alberto Gilardino,Palermo,10,2016
Antonio Candreva,Lazio,10,2016
Mario Mandzukic,Juventus,10,2016
Miralem Pjanic,Roma,10,2016
Daniel Ciofani,Frosinone,9,2016
Federico Dionisi,Frosinone,9,2016
Dzeko Edin,Roma,29,2017
Mertens Dries,Napoli,28,2017
Belotti Andrea,Torino,26,2017
Icardi Mauro Emanuel,Inter,24,2017
Higuaín Gonzalo,Juventus,24,2017
Immobile Ciro,Lazio,23,2017
Insigne Lorenzo,Napoli,18,2017
Papu Gomez Alejandro,Atalanta,16,2017
Keita Baldé Diao,Lazio,16,2017
Borriello Marco,Cagliari,16,2017
Salah Mohamed,Roma,15,2017
Kalinic Nikola,Fiorentina,15,2017
Callejon José Maria,Napoli,14,2017
Bacca Carlos,Milan,13,2017
Falcinelli Diego,Crotone,13,2017
Quagliarella Fabio,Sampdoria,12,2017
Defrel Gregoire André,Sassuolo,12,2017
Hamsik Marek,Napoli,12,2017
Thereau Cyril,Udinese,12,2017
Simeone Giovanni Pablo,Genoa,12,2017
Iago Falque Silva,Torino,12,2017
Nestorovski Ilija,Palermo,11,2017
Dybala Paulo,Juventus,11,2017
Nainggolan Radja,Roma,11,2017
Schick Patrik,Sampdoria,11,2017
Destro Mattia,Bologna,11,2017
Muriel Luis,Sampdoria,11,2017
Bernardeschi Federico,Fiorentina,11,2017
Perisic Ivan,Inter,11,2017
Babacar Khouma,Fiorentina,10,2017
Inglese Roberto,Chievo,10,2017
Ljajic Adem,Torino,10,2017
Zapata Duvan,Udinese,10,2017
Pellissier Sergio,Chievo,9,2017
Caprari Gianluca,Pescara,9,2017
Matri Alessandro,Sassuolo,8,2017
Eder Citadin,Inter,8,2017
Dzemaili Blerim,Bologna,8,2017
Perotti Diego,Roma,8,2017
Conti Andrea,Atalanta,8,2017
Lapadula Gianluca,Milan,8,2017
