Club,Stadio,Capacità,Spettatori,Media spettatori,Anno
AS Roma,Olimpico di Roma,70634,762572,40135,2015
Juventus FC,Allianz Stadium,41507,732504,38553,2015
Inter,Giuseppe Meazza,75923,708131,37270,2015
AC Milan,Giuseppe Meazza,75923,696107,36637,2015
SS Lazio,Olimpico di Roma,70634,684075,36004,2015
SSC Napoli,Diego Armando Maradona,54726,643063,33845,2015
ACF Fiorentina,Artemio Franchi,43147,574201,30221,2015
UC Sampdoria,Luigi Ferraris,33205,416026,21896,2015
Genoa CFC,Luigi Ferraris,34901,380525,20028,2015
Hellas Verona,Marcantonio Bentegodi,39211,366678,19299,2015
US Città di Palermo,Comunale Renzo Barbera,36365,332130,17481,2015
AC Cesena,Orogel Stadium - Dino Manuzzi,23860,308941,16260,2015
Torino FC,Olimpico Grande Torino,28177,307888,16205,2015
Atalanta,Gewiss Stadium,24950,287409,15127,2015
US Sassuolo,Mapei Stadium - Città del Tricolore,21584,242395,12758,2015
Parma FC,Ennio Tardini,22352,226180,11904,2015
AC Chievo Verona,Marcantonio Bentegodi,39211,205628,10823,2015
Cagliari Calcio,Unipol Domus,16365,202707,10669,2015
Empoli FC,Carlo Castellani,19847,175346,9229,2015
Udinese Calcio,Bluenergy Stadium,25144,171294,9015,2015
Inter,Giuseppe Meazza,75923,865226,45538,2016
SSC Napoli,Diego Armando Maradona,54726,735434,38707,2016
Juventus FC,Allianz Stadium,41507,735111,38690,2016
AC Milan,Giuseppe Meazza,75923,719358,37861,2016
AS Roma,Olimpico di Roma,70634,668449,35182,2016
ACF Fiorentina,Artemio Franchi,43147,541260,28487,2016
UC Sampdoria,Luigi Ferraris,33205,405645,21350,2016
SS Lazio,Olimpico di Roma,70634,400188,21063,2016
Genoa CFC,Luigi Ferraris,34901,399484,21025,2016
Torino FC,Olimpico Grande Torino,28177,368449,19392,2016
Bologna FC,Stadio Renato Dall’Ara,36462,359078,18899,2016
Hellas Verona,Marcantonio Bentegodi,39211,346819,18254,2016
US Città di Palermo,Comunale Renzo Barbera,36365,336585,17715,2016
Atalanta,Gewiss Stadium,24950,334870,17625,2016
Udinese Calcio,Bluenergy Stadium,25144,301812,15885,2016
US Sassuolo,Mapei Stadium - Città del Tricolore,21584,217298,11437,2016
AC Chievo Verona,Marcantonio Bentegodi,39211,212952,11208,2016
Empoli FC,Carlo Castellani,19847,180695,9510,2016
Carpi FC 1909,Sandro Cabassi,5510,170843,8992,2016
Frosinone Calcio,Benito Stirpe,16227,141531,7449,2016
Inter,Giuseppe Meazza,75923,885788,46620,2017
AC Milan,Giuseppe Meazza,75923,765555,40292,2017
Juventus FC,Allianz Stadium,41507,757354,39861,2017
SSC Napoli,Diego Armando Maradona,54726,695500,36605,2017
AS Roma,Olimpico di Roma,70634,620118,32638,2017
ACF Fiorentina,Artemio Franchi,43147,502936,26470,2017
Genoa CFC,Luigi Ferraris,34901,405356,21335,2017
Bologna FC,Stadio Renato Dall’Ara,36462,402644,21192,2017
SS Lazio,Olimpico di Roma,70634,387600,20400,2017
UC Sampdoria,Luigi Ferraris,33205,372810,19622,2017
Torino FC,Olimpico Grande Torino,28177,366710,19301,2017
